"1","1","MID","GUSTAVO ANDRES SUAREZ"
"10","191","COMUNIDAD","CLAUDIO FABIAN LARRAZA"
"11","192","AVANZAR NEUQUEN","CLAUDIO FABIAN LARRAZA"
"12","193","ARRIBA NEUQUEN","CLAUDIO FABIAN LARRAZA"
"13","676","ALIANZA UNIDOS POR PLAZA HUINCUL","FERNANDO DOROSCHENCO"
"14","679","ALIANZA FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD","ARIEL FACUNDO MUÑOZ"
"15","680","ALIANZA JUNTOS POR EL CAMBIO","CLAUDIO FABIAN LARRAZA"
"16","842","FRENTE SOCIAL POR LA DIGNIDAD","CLAUDIO FABIAN LARRAZA"
"17","855","FRENTE COMUNITARIO POR PH","GUSTAVO ANDRES SUAREZ"
"18","863","FRENTE INTEGRADOR NEUQUINO","GUSTAVO ANDRES SUAREZ"
"19","882","FRENTE NUEVO NEUQUEN","GUSTAVO ANDRES SUAREZ"
"2","23","UNION POPULAR FEDERAL","CLAUDIO FABIAN LARRAZA"
"20","883","IGUALES","GUSTAVO ANDRES SUAREZ"
"21","888","FRENTE SOCIAL","FERNANDO DOROSCHENCO"
"22","890","JUNTOS POR PLAZA","CLAUDIO FABIAN LARRAZA"
"23","901","JUNTOS","GUSTAVO ANDRES SUAREZ"
"24","914","ENERGÍA CIUDADANA","GUSTAVO ANDRES SUAREZ"
"25","915","PARTIDO VECINAL RENOVADOR","GUSTAVO ANDRES SUAREZ"
"3","41","FRENTE GRANDE","CLAUDIO FABIAN LARRAZA"
"4","50","PARTIDO SOCIALISTA","CLAUDIO FABIAN LARRAZA"
"5","64","PRO","CLAUDIO FABIAN LARRAZA"
"6","72","INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR","DANIEL J.G VECE"
"7","151","MOVIMIENTO POPULAR NEUQUINO","GUSTAVO ANDRES SUAREZ"
"8","180","NUEVO COMPROMISO NEUQUINO","CLAUDIO FABIAN LARRAZA"
"9","190","DESARROLLO CIUDADANO","CLAUDIO FABIAN LARRAZA"
"BLC",,"Voto en Blanco",
"IMP",,"Votos Impugnados",
"OBS",,"Total Observados",
